name,team,position,element,season,GW,total_points,value,price_change,pts_per_million,position_enc,rolling_pts_3,rolling_pts_5,rolling_pts_std_3,rolling_pts_std_5,rolling_goals_3,rolling_assists_3,rolling_mins_3,rolling_gi_3,form_trend,pct_matches_played,games_played,was_home,team_match_result,played_60_plus,blanked,red_card_flag,opp_avg_goals_scored,opp_avg_goals_conceded,team_rolling_pts_3,team_rolling_goals_3,gi_rate,rolling_yellows_3,transfers_per_selected
Folarin Balogun,Arsenal,FWD,1,2324,19,0,4.4,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9473684210526315,18,1,0,0,1,0,0.05243697478991597,0.38638655462184873,1.3333333333333333,0.028571428571428577,0.0,0.0,0.0
Folarin Balogun,Arsenal,FWD,1,2324,20,0,4.4,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19,0,0,0,1,0,0.04067226890756302,0.4439028944911298,1.3333333333333333,0.028571428571428577,0.0,0.0,0.0
Folarin Balogun,Arsenal,FWD,1,2324,21,0,4.4,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,20,1,3,0,1,0,0.022698412698412697,0.37200746965452847,0.3333333333333333,0.018783068783068787,0.0,0.0,0.0
Folarin Balogun,Arsenal,FWD,1,2324,22,0,4.4,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9545454545454546,21,0,3,0,1,0,0.044920634920634916,0.3073015873015873,1.0,0.0462962962962963,0.0,0.0,0.0
Folarin Balogun,Arsenal,FWD,1,2324,23,0,4.4,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9565217391304348,22,1,3,0,1,0,0.0446031746031746,0.3684126984126984,2.0,0.06481481481481481,0.0,0.0,0.0
Folarin Balogun,Arsenal,FWD,1,2324,24,0,4.4,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,23,0,3,0,1,0,0.05555555555555556,0.3666666666666667,3.0,0.08333333333333333,0.0,0.0,0.0
Folarin Balogun,Arsenal,FWD,1,2324,25,0,4.4,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,24,0,3,0,1,0,0.08798798798798799,0.24444444444444446,3.0,0.10035035035035035,0.0,0.0,0.0
Folarin Balogun,Arsenal,FWD,1,2324,26,0,4.4,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9615384615384616,25,1,3,0,1,0,0.10874822190611663,0.12222222222222223,3.0,0.12569148095463886,0.0,0.0,0.0
Folarin Balogun,Arsenal,FWD,1,2324,27,0,4.4,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9629629629629629,26,0,3,0,1,0,0.10231547336810494,0.1801169590643275,3.0,0.12422949265054528,0.0,0.0,0.0
Folarin Balogun,Arsenal,FWD,1,2324,28,0,4.4,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642857142857143,27,1,3,0,1,0,0.11752015173067805,0.11900584795321638,3.0,0.11403508771929823,0.0,0.0,0.0
