name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified
Hinshelwood,MID,Brighton,1.5,0,0,0,0,0.0,621,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,12,0,0,0,0,1,0,822,0,1,4,0.0,0,0,0,0,45,True,0,1,,,,,,,,
Sancho,MID,Man Utd,3.0,0,0,4,0,11.3,397,0.05,0.05,0.0,1.08,10,0,0,2.3,3.8,2023-08-14T19:00:00Z,22,20,0,0,0,0,1,0,83993,0,0,1,8.0,1,0,0,0,70,True,0,1,,,,,,,,
Davies,DEF,Sheffield Utd,0.1,0,0,0,0,0.0,487,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,8,0,0,0,0,1,0,6456,0,1,0,0.0,0,0,0,0,40,True,0,1,,,,,,,,
Janelt,MID,Brentford,2.1,0,0,6,0,11.5,105,0.01,0.03,0.02,1.26,8,2,0,4.3,14.6,2023-08-13T13:00:00Z,90,18,0,0,0,0,1,0,6508,1,2,2,17.0,2,0,0,0,55,True,0,1,,,,,,,,
Brooks,MID,Sheffield Utd,0.5,0,0,3,0,0.0,655,0.01,0.01,0.0,0.0,7,0,0,0.0,0.0,2023-08-12T14:00:00Z,3,8,0,0,0,0,1,0,0,0,1,0,0.0,1,0,0,0,45,True,0,1,,,,,,,,
Grealish,MID,Man City,4.1,0,0,0,0,0.0,354,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2023-08-11T19:00:00Z,0,6,0,0,0,0,1,0,488362,0,3,0,0.0,0,0,0,0,75,False,0,1,,,,,,,,
Krafth,DEF,Newcastle,0.0,0,0,0,0,0.0,417,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2023-08-12T16:30:00Z,0,2,0,0,0,0,1,0,1621,0,1,5,0.0,0,0,0,0,45,True,0,1,,,,,,,,
Ba,MID,Wolves,0.5,0,0,0,0,0.0,574,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,2023-08-14T19:00:00Z,0,14,0,0,0,0,1,0,43843,0,0,1,0.0,0,0,0,0,45,False,0,1,,,,,,,,
James,GK,Luton,1.9,0,0,0,0,0.0,335,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,5,0,0,0,0,1,0,17537,0,1,4,0.0,0,0,0,0,45,False,0,1,,,,,,,,
Jones,MID,Liverpool,2.1,0,0,1,0,1.8,300,0.01,0.01,0.0,0.24,9,0,0,0.6,4.6,2023-08-13T15:30:00Z,24,7,0,0,0,0,1,0,11655,0,1,1,0.0,1,0,0,0,50,False,0,1,,,,,,,,
James,DEF,Chelsea,2.1,0,0,15,0,35.9,206,0.42,0.45,0.03,1.23,9,1,0,5.0,11.4,2023-08-13T15:30:00Z,75,11,0,0,0,0,1,0,1339493,1,1,1,3.0,2,0,0,0,55,True,0,1,,,,,,,,
Austin,GK,Spurs,1.0,0,0,0,0,0.0,491,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2023-08-13T13:00:00Z,0,4,0,0,0,0,1,0,18082,0,2,2,0.0,0,0,0,0,40,False,0,1,,,,,,,,
Obi,GK,Aston Villa,0.5,0,0,0,0,0.0,53,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2023-08-12T16:30:00Z,0,15,0,0,0,0,1,0,74539,0,1,5,0.0,0,0,0,0,40,False,0,1,,,,,,,,
Amad,MID,Man Utd,0.0,0,0,0,0,0.0,371,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,2023-08-14T19:00:00Z,0,20,0,0,0,0,1,0,4577,0,0,1,0.0,0,0,0,0,45,True,0,1,,,,,,,,
Anthony,MID,Nott'm Forest,1.1,1,0,17,0,20.5,378,0.61,0.61,0.0,0.4,2,0,0,4.2,19.2,2023-08-12T12:00:00Z,10,1,0,0,0,0,1,0,43975,0,1,2,2.0,4,0,0,0,50,False,0,1,,,,,,,,
Wood,MID,Sheffield Utd,0.8,0,0,11,0,0.0,488,0.09,0.13,0.04,2.01,7,1,0,0.0,0.0,2023-08-12T14:00:00Z,90,8,0,0,0,0,1,0,2002,1,1,0,0.0,2,0,0,0,50,True,0,1,,,,,,,,
Carvalho,MID,Man City,3.8,0,0,11,1,8.6,344,0.03,0.03,0.0,0.3,1,0,0,1.1,2.2,2023-08-11T19:00:00Z,90,6,0,0,0,0,1,0,404104,1,3,0,0.0,3,0,0,0,65,False,0,1,,,,,,,,
Nketiah,FWD,Arsenal,2.4,0,2,26,1,5.9,13,0.01,0.22,0.21,0.3,2,0,1,7.2,30.2,2023-08-12T12:00:00Z,72,16,0,0,0,0,1,0,210426,1,1,2,36.0,8,0,0,0,55,True,0,1,,,,,,,,
Ba,DEF,Chelsea,0.0,0,0,0,0,0.0,191,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2023-08-13T15:30:00Z,0,11,0,0,0,0,1,0,5644,0,1,1,0.0,0,0,0,0,45,True,0,1,,,,,,,,
Rowe,MID,Arsenal,2.6,0,0,0,0,0.0,22,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,2023-08-12T12:00:00Z,0,16,0,0,0,0,1,0,14977,0,1,2,0.0,0,0,0,0,55,True,0,1,,,,,,,,
Philip,MID,Aston Villa,1.7,0,0,3,0,1.8,38,0.01,0.09,0.08,0.65,6,1,0,0.5,0.0,2023-08-12T16:30:00Z,3,15,0,0,0,0,1,0,45198,0,1,5,4.0,1,0,0,0,60,False,0,1,,,,,,,,
Iroegbunam,MID,Aston Villa,0.0,0,0,0,0,0.0,46,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2023-08-12T16:30:00Z,0,15,0,0,0,0,1,0,3839,0,1,5,0.0,0,0,0,0,45,False,0,1,,,,,,,,
Pablo,MID,Wolves,1.1,0,0,6,1,34.9,570,0.3,0.36,0.06,0.74,10,0,0,5.5,10.8,2023-08-14T19:00:00Z,62,14,0,0,0,0,1,0,7757,1,0,1,9.0,3,0,0,0,50,False,0,1,,,,,,,,
Moore,FWD,Bournemouth,1.4,0,0,2,0,3.3,76,0.05,0.09,0.04,0.23,3,0,0,0.9,0.0,2023-08-12T14:00:00Z,23,19,0,0,0,0,1,0,42328,0,1,1,7.0,1,0,0,0,50,True,0,1,,,,,,,,
Esse,GK,Nott'm Forest,0.0,0,0,0,0,0.0,448,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,2023-08-12T12:00:00Z,0,1,0,0,0,0,1,0,29193,0,1,2,0.0,0,0,0,0,40,False,0,1,,,,,,,,
Matthews,GK,Crystal Palace,1.5,0,0,0,0,0.0,233,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,17,0,0,0,0,1,0,11170,0,1,0,0.0,0,0,0,0,40,False,0,1,,,,,,,,
Konaté,DEF,Liverpool,2.8,0,0,14,0,0.6,302,0.0,0.0,0.0,1.28,9,1,0,2.7,24.4,2023-08-13T15:30:00Z,90,7,0,0,0,0,1,0,109967,1,1,1,2.0,2,0,0,0,50,False,0,1,,,,,,,,
Joelinton,MID,Newcastle,2.7,0,0,13,0,7.4,416,0.16,0.28,0.12,1.9,6,1,0,2.5,9.8,2023-08-12T16:30:00Z,90,2,0,0,0,0,1,0,95488,1,1,5,8.0,2,0,0,0,60,True,0,1,,,,,,,,
Tavernier,MID,Bournemouth,0.0,0,0,0,0,0.0,86,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,19,0,0,0,0,1,0,2591,0,1,1,0.0,0,0,0,0,55,True,0,1,,,,,,,,
Cox,GK,Brentford,0.0,0,0,0,0,0.0,97,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2023-08-13T13:00:00Z,0,18,0,0,0,0,1,0,1078,0,2,2,0.0,0,0,0,0,40,True,0,1,,,,,,,,
Akanji,DEF,Man City,3.8,0,0,23,1,1.3,341,0.01,0.01,0.0,0.3,1,0,0,2.3,22.0,2023-08-11T19:00:00Z,90,6,0,0,0,0,1,0,376450,1,3,0,0.0,6,0,0,0,50,False,0,1,,,,,,,,
Højlund,FWD,Man Utd,0.0,0,0,0,0,0.0,617,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,2023-08-14T19:00:00Z,0,20,0,0,0,0,1,0,89075,0,0,1,0.0,0,0,0,0,70,True,0,1,,,,,,,,
Koleosho,MID,Burnley,0.1,0,0,4,0,0.0,605,0.03,0.09,0.06,0.96,1,2,0,0.0,0.0,2023-08-11T19:00:00Z,60,13,0,0,0,0,1,0,1053,1,3,0,0.0,2,0,0,0,50,True,0,1,,,,,,,,
Raya,DEF,Wolves,1.5,0,0,9,0,11.0,545,0.01,0.01,0.0,1.18,10,1,0,3.2,20.6,2023-08-14T19:00:00Z,76,14,0,0,0,0,1,0,25410,1,0,1,0.0,1,0,0,0,45,False,1,1,,,,,,,,
Chambers,DEF,Aston Villa,0.5,0,0,0,0,0.0,37,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2023-08-12T16:30:00Z,0,15,0,0,0,0,1,0,118764,0,1,5,0.0,0,0,0,0,40,False,0,1,,,,,,,,
Davies,DEF,Spurs,2.0,0,0,0,0,0.0,495,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2023-08-13T13:00:00Z,0,4,0,0,0,0,1,0,69309,0,2,2,0.0,0,0,0,0,45,False,0,1,,,,,,,,
Son,DEF,West Ham,2.0,0,0,8,0,26.0,532,0.25,0.25,0.0,1.37,3,1,0,5.0,20.4,2023-08-12T14:00:00Z,90,3,0,0,0,0,1,0,29980,1,1,1,4.0,1,0,0,0,45,False,1,1,,,,,,,,
Luis Díaz,MID,Liverpool,3.1,0,1,20,0,14.8,303,0.04,0.87,0.83,1.28,9,1,1,8.3,35.0,2023-08-13T15:30:00Z,76,7,0,0,0,0,1,0,445306,1,1,1,33.0,8,0,0,0,75,False,0,1,,,,,,,,
Tel,MID,Burnley,-0.5,0,0,0,0,0.0,164,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2023-08-11T19:00:00Z,0,13,0,0,0,0,1,0,3268,0,3,0,0.0,0,0,0,0,45,True,0,1,,,,,,,,
Stones,DEF,Man City,4.1,0,0,0,0,0.0,368,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2023-08-11T19:00:00Z,0,6,0,0,0,0,1,0,2333274,0,3,0,0.0,0,0,0,0,55,False,0,1,,,,,,,,
Wilson,MID,Fulham,2.1,0,0,13,1,32.9,288,0.2,0.27,0.07,2.73,5,0,0,4.9,10.8,2023-08-12T14:00:00Z,90,9,0,0,0,0,1,0,15157,1,1,0,5.0,3,0,0,0,55,False,0,1,,,,,,,,
Bettinelli,GK,Chelsea,0.0,0,0,0,0,0.0,192,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2023-08-13T15:30:00Z,0,11,0,0,0,0,1,0,2183,0,1,1,0.0,0,0,0,0,40,True,0,1,,,,,,,,
Ebiowei,MID,Crystal Palace,1.5,0,0,0,0,0.0,224,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,17,0,0,0,0,1,0,5422,0,1,0,0.0,0,0,0,0,45,False,0,1,,,,,,,,
White,DEF,Arsenal,3.1,0,0,8,0,7.3,29,0.03,0.03,0.0,1.18,2,1,0,2.0,10.8,2023-08-12T12:00:00Z,90,16,0,0,0,0,1,0,812755,1,1,2,2.0,1,0,0,0,55,True,1,1,,,,,,,,
Konsa,DEF,Aston Villa,1.5,0,0,16,0,1.3,48,0.01,0.01,0.0,3.44,6,5,0,1.5,13.2,2023-08-12T16:30:00Z,90,15,0,0,0,0,1,0,102941,1,1,5,0.0,0,0,0,0,45,False,0,1,,,,,,,,
Lewis,DEF,Newcastle,0.0,0,0,0,0,0.0,420,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2023-08-12T16:30:00Z,0,2,0,0,0,0,1,0,1456,0,1,5,0.0,0,0,0,0,40,True,0,1,,,,,,,,
Bailey,MID,Aston Villa,1.6,0,0,-1,0,3.8,34,0.01,0.01,0.0,1.24,6,2,0,0.4,0.2,2023-08-12T16:30:00Z,45,15,0,0,0,0,1,0,58138,1,1,5,0.0,1,0,0,0,55,False,0,1,,,,,,,,
Shaw,DEF,Man Utd,3.1,0,0,25,1,3.7,398,0.04,0.04,0.0,2.27,10,0,0,3.9,27.0,2023-08-14T19:00:00Z,90,20,0,0,0,0,1,0,2192119,1,0,1,8.0,5,0,0,0,55,True,1,1,,,,,,,,
James,DEF,Everton,2.0,0,0,8,0,0.3,265,0.03,0.07,0.04,1.5,5,1,0,1.9,10.4,2023-08-12T14:00:00Z,90,10,0,0,0,0,1,0,179311,1,1,0,8.0,2,0,0,0,45,True,0,1,,,,,,,,
Ajer,DEF,Brentford,2.0,0,0,7,0,1.0,90,0.01,0.01,0.0,1.14,8,2,0,1.7,14.2,2023-08-13T13:00:00Z,83,18,0,0,0,0,1,0,22045,1,2,2,2.0,1,0,0,0,45,True,0,1,,,,,,,,
Johnson,MID,Nott'm Forest,1.7,0,0,0,0,0.3,450,0.0,0.28,0.28,0.43,2,2,0,0.5,0.0,2023-08-12T12:00:00Z,79,1,0,0,0,0,1,0,53529,1,1,2,6.0,2,0,0,0,60,False,0,1,,,,,,,,
O'Brien,DEF,Crystal Palace,1.5,0,0,0,0,0.0,235,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,17,0,0,0,0,1,0,12650,0,1,0,0.0,0,0,0,0,40,False,0,1,,,,,,,,
Esse,DEF,Spurs,0.0,0,0,0,0,0.0,514,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2023-08-13T13:00:00Z,0,4,0,0,0,0,1,0,820,0,2,2,0.0,0,0,0,0,45,False,0,1,,,,,,,,
Kluivert,MID,Bournemouth,1.6,0,0,2,0,0.0,72,0.01,0.01,0.0,0.23,3,0,0,0.0,0.0,2023-08-12T14:00:00Z,30,19,0,0,0,0,1,0,43879,0,1,1,0.0,1,0,0,0,50,True,0,1,,,,,,,,
Ugochukwu,MID,Chelsea,0.5,0,0,4,0,0.0,613,0.0,0.0,0.0,0.02,9,0,0,0.0,0.0,2023-08-13T15:30:00Z,1,11,0,0,0,0,1,0,10397,0,1,1,0.0,1,0,0,0,45,True,0,1,,,,,,,,
Hudson-Odoi,MID,Chelsea,1.1,0,0,0,0,0.0,205,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2023-08-13T15:30:00Z,0,11,0,0,0,0,1,0,4339,0,1,1,0.0,0,0,0,0,50,True,0,1,,,,,,,,
Foden,MID,Man City,4.1,0,0,6,1,32.8,353,0.11,0.38,0.27,0.3,1,0,0,7.4,9.0,2023-08-11T19:00:00Z,90,6,0,0,0,0,1,0,706434,1,3,0,32.0,3,0,0,0,75,False,0,1,,,,,,,,
Fábio Silva,FWD,Wolves,1.4,0,0,6,0,10.8,552,0.01,0.34,0.33,0.29,10,0,0,7.9,11.2,2023-08-14T19:00:00Z,13,14,0,0,0,0,1,0,22652,0,0,1,57.0,1,0,0,0,55,False,0,1,,,,,,,,
White,GK,Spurs,0.0,0,0,0,0,0.0,521,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2023-08-13T13:00:00Z,0,4,0,0,0,0,1,0,25074,0,2,2,0.0,0,0,0,0,40,False,0,1,,,,,,,,
James,DEF,Crystal Palace,1.5,0,0,3,0,0.0,241,0.0,0.0,0.0,0.0,7,0,0,0.0,0.2,2023-08-12T14:00:00Z,1,17,0,0,0,0,1,0,73828,0,1,0,0.0,1,0,0,0,40,False,0,1,,,,,,,,
Osula,FWD,Sheffield Utd,0.5,0,0,-5,0,0.0,490,0.01,0.25,0.24,2.01,7,1,0,0.0,0.0,2023-08-12T14:00:00Z,90,8,0,0,0,0,1,0,135543,1,1,0,0.0,1,0,0,0,45,True,1,1,,,,,,,,
Watkins,FWD,Aston Villa,2.1,1,0,18,0,23.4,60,0.1,0.33,0.23,3.44,6,5,0,8.5,32.2,2023-08-12T16:30:00Z,90,15,0,0,0,0,1,0,2116959,1,1,5,29.0,5,0,0,0,80,False,0,1,,,,,,,,
Gabriel,DEF,Arsenal,2.8,0,0,2,0,0.0,5,0.0,0.0,0.0,0.02,2,0,0,0.0,0.2,2023-08-12T12:00:00Z,4,16,0,0,0,0,1,0,2743150,0,1,2,0.0,1,0,0,0,50,True,0,1,,,,,,,,
Harris,MID,Fulham,1.6,0,0,13,1,12.8,282,0.08,0.08,0.0,2.73,5,0,0,2.8,13.2,2023-08-12T14:00:00Z,90,9,0,0,0,0,1,0,86790,1,1,0,2.0,3,0,0,0,50,False,0,1,,,,,,,,
Solomon,MID,Spurs,2.1,0,0,0,0,0.0,583,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2023-08-13T13:00:00Z,0,4,0,0,0,0,1,0,12735,0,2,2,0.0,0,0,0,0,55,False,0,1,,,,,,,,
Ba,DEF,Man Utd,1.5,0,0,0,0,0.0,375,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,2023-08-14T19:00:00Z,0,20,0,0,0,0,1,0,16776,0,0,1,0.0,0,0,0,0,40,True,0,1,,,,,,,,
Nørgaard,MID,Brentford,2.1,0,0,9,0,1.8,110,0.01,0.01,0.0,1.02,8,2,0,1.7,8.8,2023-08-13T13:00:00Z,71,18,0,0,0,0,1,0,11500,1,2,2,6.0,2,0,0,0,55,True,0,1,,,,,,,,
Longstaff,MID,Newcastle,2.1,0,0,3,0,0.0,421,0.0,0.0,0.0,0.32,6,0,0,0.0,0.0,2023-08-12T16:30:00Z,5,2,0,0,0,0,1,0,20255,0,1,5,0.0,1,0,0,0,50,True,0,1,,,,,,,,
Sambi,MID,Arsenal,2.1,0,0,0,0,0.0,21,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,2023-08-12T12:00:00Z,0,16,0,0,0,0,1,0,1680,0,1,2,0.0,0,0,0,0,50,True,0,1,,,,,,,,
McNally,DEF,Burnley,0.0,0,0,0,0,0.0,171,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2023-08-11T19:00:00Z,0,13,0,0,0,0,1,0,2793,0,3,0,0.0,0,0,0,0,40,True,0,1,,,,,,,,
Mitoma,MID,Brighton,2.8,1,1,26,0,61.9,143,0.62,0.64,0.02,1.45,4,1,0,11.3,28.6,2023-08-12T14:00:00Z,90,12,0,0,0,0,1,0,3166456,1,1,4,22.0,5,0,0,0,65,True,1,1,,,,,,,,
Ba,DEF,Chelsea,0.0,0,0,0,0,0.0,190,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2023-08-13T15:30:00Z,0,11,0,0,0,0,1,0,541,0,1,1,0.0,0,0,0,0,40,True,0,1,,,,,,,,
Son,FWD,Sheffield Utd,0.7,0,0,0,0,0.0,483,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,8,0,0,0,0,1,0,2004,0,1,0,0.0,0,0,0,0,50,True,0,1,,,,,,,,
Adingra,MID,Brighton,2.1,0,0,20,0,1.3,122,0.01,0.26,0.25,1.04,4,1,1,6.9,33.0,2023-08-12T14:00:00Z,16,12,0,0,0,0,1,0,18476,0,1,4,35.0,6,0,0,0,50,True,0,1,,,,,,,,
Scott,MID,Burnley,0.1,0,0,0,0,0.0,180,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2023-08-11T19:00:00Z,0,13,0,0,0,0,1,0,2966,0,3,0,0.0,0,0,0,0,50,True,0,1,,,,,,,,
Raya,GK,Brentford,3.2,0,0,0,0,0.0,113,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2023-08-13T13:00:00Z,0,18,0,0,0,0,1,0,458701,0,2,2,0.0,0,0,0,0,50,True,0,1,,,,,,,,
Philip,FWD,Crystal Palace,1.9,0,0,0,0,0.0,232,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,17,0,0,0,0,1,0,35176,0,1,0,0.0,0,0,0,0,50,False,0,1,,,,,,,,
Son,MID,Bournemouth,0.0,0,0,0,0,0.0,79,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,19,0,0,0,0,1,0,189,0,1,1,0.0,0,0,0,0,45,True,0,1,,,,,,,,
Bailey,GK,Burnley,0.0,0,0,0,0,0.0,175,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2023-08-11T19:00:00Z,0,13,0,0,0,0,1,0,1931,0,3,0,0.0,0,0,0,0,40,True,0,1,,,,,,,,
Gusto,DEF,Nott'm Forest,0.0,0,0,0,0,0.0,445,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,2023-08-12T12:00:00Z,0,1,0,0,0,0,1,0,3335,0,1,2,0.0,0,0,0,0,45,False,0,1,,,,,,,,
Saliba,DEF,Arsenal,2.9,1,0,22,0,13.6,20,0.03,0.03,0.0,1.18,2,1,0,4.9,33.6,2023-08-12T12:00:00Z,90,16,0,0,0,0,1,0,1463572,1,1,2,2.0,5,0,0,0,50,True,0,1,,,,,,,,
Obafemi,FWD,Burnley,0.0,0,0,0,0,0.0,174,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2023-08-11T19:00:00Z,0,13,0,0,0,0,1,0,4956,0,3,0,0.0,0,0,0,0,50,True,0,1,,,,,,,,
André,MID,Everton,1.0,0,0,0,0,0.0,244,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,10,0,0,0,0,1,0,23949,0,1,0,0.0,0,0,0,0,45,True,0,1,,,,,,,,
Udogie,DEF,Spurs,2.0,0,0,16,0,17.3,519,0.04,0.04,0.0,2.02,8,2,0,3.5,15.8,2023-08-13T13:00:00Z,90,4,0,0,0,0,1,0,188121,1,2,2,2.0,1,0,0,0,45,False,0,1,,,,,,,,
Trevitt,MID,Brentford,1.0,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2023-08-13T13:00:00Z,0,18,0,0,0,0,1,0,1848,0,2,2,0.0,0,0,0,0,45,True,0,1,,,,,,,,
Roberts,DEF,Burnley,0.5,0,0,10,0,0.0,176,0.01,0.01,0.0,2.21,1,3,0,0.0,0.0,2023-08-11T19:00:00Z,90,13,0,0,0,0,1,0,22396,1,3,0,0.0,1,0,0,0,45,True,0,1,,,,,,,,
Pau,MID,Aston Villa,1.6,0,0,10,0,22.3,43,0.15,0.34,0.19,3.44,6,5,0,5.1,9.4,2023-08-12T16:30:00Z,90,15,0,0,0,0,1,0,255432,1,1,5,19.0,1,0,0,0,55,False,1,1,,,,,,,,
James,MID,Liverpool,1.5,0,0,0,0,0.0,629,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2023-08-13T15:30:00Z,0,7,0,0,0,0,1,0,841,0,1,1,0.0,0,0,0,0,45,False,0,1,,,,,,,,
Bajcetic,MID,Liverpool,2.1,0,0,0,0,0.0,292,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2023-08-13T15:30:00Z,0,7,0,0,0,0,1,0,4814,0,1,1,0.0,0,0,0,0,50,False,0,1,,,,,,,,
Andreas,MID,Fulham,1.5,1,0,10,0,0.8,267,0.0,0.0,0.0,0.6,5,0,0,0.3,0.6,2023-08-12T14:00:00Z,32,9,0,0,0,0,1,0,93427,0,1,0,2.0,4,0,0,0,55,False,0,1,,,,,,,,
Cucurella,DEF,Chelsea,1.8,0,0,0,0,0.0,198,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2023-08-13T15:30:00Z,0,11,0,0,0,0,1,0,47255,0,1,1,0.0,0,0,0,0,50,True,0,1,,,,,,,,
Bryan,MID,Spurs,0.0,0,0,0,0,0.0,494,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2023-08-13T13:00:00Z,0,4,0,0,0,0,1,0,605,0,2,2,0.0,0,0,0,0,50,False,0,1,,,,,,,,
Harris,DEF,Newcastle,0.0,0,0,0,0,0.0,404,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2023-08-12T16:30:00Z,0,2,0,0,0,0,1,0,3531,0,1,5,0.0,0,0,0,0,40,True,0,1,,,,,,,,
John,DEF,Sheffield Utd,1.5,0,0,13,0,0.0,480,0.0,0.04,0.04,2.01,7,1,0,0.0,0.0,2023-08-12T14:00:00Z,90,8,0,0,0,0,1,0,12626,1,1,0,0.0,2,0,0,0,45,True,0,1,,,,,,,,
Damsgaard,MID,Brentford,1.6,0,0,4,0,0.3,98,0.01,0.08,0.07,0.57,8,0,0,2.8,10.4,2023-08-13T13:00:00Z,41,18,0,0,0,0,1,0,9965,0,2,2,17.0,1,0,0,0,50,True,0,1,,,,,,,,
Angel,DEF,West Ham,2.0,0,0,0,0,0.0,577,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,3,0,0,0,0,1,0,9427,0,1,1,0.0,0,0,0,0,45,False,0,1,,,,,,,,
Ba,DEF,Sheffield Utd,0.5,0,0,6,0,0.0,474,0.0,0.0,0.0,1.8,7,1,0,0.0,0.0,2023-08-12T14:00:00Z,79,8,0,0,0,0,1,0,33202,1,1,0,0.0,2,0,0,0,40,True,0,1,,,,,,,,
Son,MID,Spurs,3.0,0,0,5,0,6.8,516,0.05,0.13,0.08,1.72,8,2,0,3.7,0.0,2023-08-13T13:00:00Z,74,4,0,0,0,0,1,0,428040,1,2,2,31.0,2,0,0,0,90,False,0,1,,,,,,,,
Gomez,DEF,Liverpool,2.5,0,0,0,0,0.0,298,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2023-08-13T15:30:00Z,0,7,0,0,0,0,1,0,24790,0,1,1,0.0,0,0,0,0,45,False,0,1,,,,,,,,
Johnson,DEF,West Ham,2.0,0,0,0,0,0.0,536,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,3,0,0,0,0,1,0,6619,0,1,1,0.0,0,0,0,0,45,False,0,1,,,,,,,,
Pedro Porro,DEF,Spurs,2.3,0,0,0,0,0.0,506,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2023-08-13T13:00:00Z,0,4,0,0,0,0,1,0,183929,0,2,2,0.0,0,0,0,0,50,False,0,1,,,,,,,,
Benson,MID,Burnley,0.6,0,0,-1,0,0.0,159,0.0,0.0,0.0,1.2,1,1,0,0.0,0.0,2023-08-11T19:00:00Z,16,13,0,0,0,0,1,0,16856,0,3,0,0.0,1,0,0,0,55,True,0,1,,,,,,,,
Colwill,DEF,Chelsea,1.5,0,0,19,0,22.5,197,0.01,0.09,0.08,1.28,9,1,0,4.7,17.8,2023-08-13T15:30:00Z,90,11,0,0,0,0,1,0,249349,1,1,1,7.0,2,0,0,0,45,True,0,1,,,,,,,,
Pablo,MID,West Ham,1.6,0,0,8,0,12.8,534,0.09,0.18,0.09,1.35,3,1,0,3.9,8.8,2023-08-12T14:00:00Z,85,3,0,0,0,0,1,0,9024,1,1,1,17.0,2,0,0,0,50,False,0,1,,,,,,,,
Ba,FWD,Luton,0.9,0,0,5,0,0.0,314,0.09,0.09,0.0,1.55,4,1,0,0.0,0.0,2023-08-12T14:00:00Z,63,5,0,0,0,0,1,0,96850,1,1,4,0.0,2,0,0,0,50,False,0,1,,,,,,,,
