name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified
Collyer,MID,Man Utd,0.8,0,0,0,0,0.0,613,0.0,0.0,0.0,0.0,237,0,0,0.0,0.0,2025-02-02T14:00:00Z,0,7,0,0,0,0,24,0,6464,0,2,0,0.0,0,1129,1418,289,45,True,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Agbinone,MID,Crystal Palace,0.0,0,0,0,0,0.0,646,0.0,0.0,0.0,0.0,237,0,0,0.0,0.0,2025-02-02T14:00:00Z,0,14,0,0,0,0,24,0,3662,0,2,0,0.0,0,-304,0,304,45,False,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Young,MID,Aston Villa,0.0,0,0,0,0,0.0,656,0.0,0.0,0.0,0.0,240,0,0,0.0,0.0,2025-02-01T17:30:00Z,0,20,0,0,0,0,24,0,24191,0,0,2,0.0,0,-94,959,1053,45,False,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Pinnock,DEF,Brentford,0.0,0,0,0,0,0.0,104,0.0,0.0,0.0,0.0,233,0,0,0.0,0.0,2025-02-02T14:00:00Z,0,18,0,0,0,0,24,0,32538,0,2,0,0.0,0,-1515,119,1634,44,True,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Saliba,DEF,Arsenal,3.2,0,0,11,0,0.8,18,0.0,0.0,0.0,0.81,231,1,0,1.5,14.0,2025-02-02T16:30:00Z,90,13,0,0,0,0,24,0,2421935,1,1,5,0.0,2,-69003,22156,91159,62,True,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Bayindir,GK,Man Utd,0.0,0,0,0,0,0.0,367,0.0,0.0,0.0,0.0,237,0,0,0.0,0.0,2025-02-02T14:00:00Z,0,7,0,0,0,0,24,0,15215,0,2,0,0.0,0,-79,982,1061,43,True,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Rodrigo,MID,Spurs,1.2,0,0,25,1,38.8,480,0.19,0.19,0.0,2.06,233,0,0,6.8,28.8,2025-02-02T14:00:00Z,90,4,0,0,0,0,24,0,13329,1,2,0,0.0,3,292,574,282,49,False,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Mitchell,FWD,Spurs,0.0,0,0,0,0,0.0,82,0.0,0.0,0.0,0.0,233,0,0,0.0,0.0,2025-02-02T14:00:00Z,0,4,0,0,0,0,24,0,565174,0,2,0,0.0,0,-96870,191,97061,74,False,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Richards,DEF,Crystal Palace,4.8,0,0,31,1,0.4,194,0.0,0.0,0.0,1.12,237,0,0,4.0,37.8,2025-02-02T14:00:00Z,90,14,0,0,0,0,24,0,13187,1,2,0,2.0,6,308,746,438,44,False,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Raya,DEF,Wolves,2.8,0,1,29,1,2.1,533,0.0,0.0,0.0,0.19,240,0,0,2.0,18.0,2025-02-01T17:30:00Z,72,2,0,0,0,0,24,0,557398,1,0,2,0.0,7,-36006,8888,44894,47,True,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
André,DEF,Aston Villa,0.5,0,0,-3,0,2.0,731,0.01,0.01,0.0,1.44,240,1,0,0.3,1.4,2025-02-01T17:30:00Z,45,20,0,0,0,0,24,0,1085,1,0,2,0.0,1,341,435,94,45,False,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
James,DEF,Leicester,1.0,0,0,-1,0,15.6,295,0.04,0.09,0.05,2.01,235,3,0,2.8,7.8,2025-02-01T15:00:00Z,75,8,0,0,0,0,24,0,174204,1,0,4,5.0,1,-4192,6162,10354,42,False,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
